YearWeekISO,ReportingCountry,Denominator,NumberDosesReceived,NumberDosesExported,FirstDose,FirstDoseRefused,SecondDose,DoseAdditional1,DoseAdditional2,DoseAdditional3,DoseAdditional4,DoseAdditional5,UnknownDose,Region,TargetGroup,Vaccine,Population
2023-W18,AT,435176,0,0,0,,0,0,0,0,0,0,0,AT,Age5_9,NVXD,8978929
2023-W18,AT,3005708,0,0,0,,0,0,0,0,0,0,0,AT,Age25_49,NVXD,8978929
2023-W18,AT,676675,0,0,0,,0,0,0,0,0,0,0,AT,Age18_24,NVXD,8978929
2023-W18,AT,260101,0,0,0,,0,0,0,0,0,0,0,AT,Age15_17,NVXD,8978929
2023-W18,AT,424628,0,0,0,,0,0,0,0,0,0,0,AT,Age10_14,NVXD,8978929
2023-W18,AT,431785,0,0,0,,0,0,0,0,0,0,0,AT,Age0_4,NVXD,8978929
2023-W18,AT,7427239,0,0,0,,0,0,0,0,0,0,0,AT,ALL,MODBA.1,8978929
2023-W18,AT,1551690,0,0,0,,0,0,0,0,0,0,0,AT,Age<18,MODBA.1,8978929
2023-W18,AT,524214,0,0,0,,0,0,0,0,0,0,0,AT,Age80+,MODBA.1,8978929
2023-W18,AT,741680,0,0,0,,0,0,0,0,0,0,0,AT,Age70_79,MODBA.1,8978929
2023-W18,AT,1086320,0,0,0,,0,0,0,0,0,0,0,AT,Age60_69,MODBA.1,8978929
2023-W18,AT,1392642,0,0,0,,0,0,0,0,0,0,0,AT,Age50_59,MODBA.1,8978929
2023-W18,AT,435176,0,0,0,,0,0,0,0,0,0,0,AT,Age5_9,MODBA.1,8978929
2023-W18,AT,3005708,0,0,0,,0,0,0,0,0,0,0,AT,Age25_49,MODBA.1,8978929
2023-W18,AT,676675,0,0,0,,0,0,0,0,0,0,0,AT,Age18_24,MODBA.1,8978929
2023-W18,AT,260101,0,0,0,,0,0,0,0,0,0,0,AT,Age15_17,MODBA.1,8978929
2023-W18,AT,424628,0,0,0,,0,0,0,0,0,0,0,AT,Age10_14,MODBA.1,8978929
2023-W18,AT,431785,0,0,0,,0,0,0,0,0,0,0,AT,Age0_4,MODBA.1,8978929
2023-W18,AT,7427239,0,0,0,,0,2,9,14,0,0,0,AT,ALL,MOD,8978929
2023-W18,AT,1551690,0,0,0,,0,0,0,0,0,0,0,AT,Age<18,MOD,8978929
2023-W18,AT,524214,0,0,0,,0,0,0,1,0,0,0,AT,Age80+,MOD,8978929
2023-W18,AT,741680,0,0,0,,0,0,1,0,0,0,0,AT,Age70_79,MOD,8978929
2023-W18,AT,1086320,0,0,0,,0,0,2,4,0,0,0,AT,Age60_69,MOD,8978929
2023-W18,AT,1392642,0,0,0,,0,1,2,6,0,0,0,AT,Age50_59,MOD,8978929
2023-W18,AT,435176,0,0,0,,0,0,0,0,0,0,0,AT,Age5_9,MOD,8978929
2023-W18,AT,3005708,0,0,0,,0,1,3,3,0,0,0,AT,Age25_49,MOD,8978929
2023-W18,AT,676675,0,0,0,,0,0,1,0,0,0,0,AT,Age18_24,MOD,8978929
2023-W18,AT,260101,0,0,0,,0,0,0,0,0,0,0,AT,Age15_17,MOD,8978929
2023-W18,AT,424628,0,0,0,,0,0,0,0,0,0,0,AT,Age10_14,MOD,8978929
2023-W18,AT,431785,0,0,0,,0,0,0,0,0,0,0,AT,Age0_4,MOD,8978929
2023-W18,AT,7427239,0,0,0,,0,0,0,0,0,0,0,AT,ALL,JANSS,8978929
2023-W18,AT,1551690,0,0,0,,0,0,0,0,0,0,0,AT,Age<18,JANSS,8978929
2023-W18,AT,524214,0,0,0,,0,0,0,0,0,0,0,AT,Age80+,JANSS,8978929
2023-W18,AT,741680,0,0,0,,0,0,0,0,0,0,0,AT,Age70_79,JANSS,8978929
2023-W18,AT,1086320,0,0,0,,0,0,0,0,0,0,0,AT,Age60_69,JANSS,8978929
2023-W18,AT,1392642,0,0,0,,0,0,0,0,0,0,0,AT,Age50_59,JANSS,8978929
2023-W18,AT,435176,0,0,0,,0,0,0,0,0,0,0,AT,Age5_9,JANSS,8978929
2023-W18,AT,3005708,0,0,0,,0,0,0,0,0,0,0,AT,Age25_49,JANSS,8978929
2023-W18,AT,676675,0,0,0,,0,0,0,0,0,0,0,AT,Age18_24,JANSS,8978929
2023-W18,AT,260101,0,0,0,,0,0,0,0,0,0,0,AT,Age15_17,JANSS,8978929
2023-W18,AT,424628,0,0,0,,0,0,0,0,0,0,0,AT,Age10_14,JANSS,8978929
2023-W18,AT,431785,0,0,0,,0,0,0,0,0,0,0,AT,Age0_4,JANSS,8978929
2021-W20,AT,524214,0,0,0,,0,0,0,0,0,0,0,AT,Age80+,COMBA.4-5,8932664
2021-W20,AT,741680,0,0,0,,1,0,0,0,0,0,0,AT,Age70_79,COMBA.4-5,8932664
2021-W20,AT,1086320,0,0,0,,0,0,0,0,0,0,0,AT,Age60_69,COMBA.4-5,8932664
2022-W02,AT,7427239,368520,0,20403,,39984,198245,1902,30,0,0,0,AT,ALL,COM,8978929
2022-W02,AT,431785,0,0,0,,0,0,0,0,0,0,0,AT,Age0_4,COMBA.1,8978929
2022-W02,AT,424628,0,0,0,,1,0,0,0,0,0,0,AT,Age10_14,COMBA.1,8978929
2022-W02,AT,260101,0,0,1,,0,0,0,0,0,0,0,AT,Age15_17,COMBA.1,8978929
2022-W02,AT,676675,0,0,1,,1,1,0,0,0,0,0,AT,Age18_24,COMBA.1,8978929
2022-W02,AT,3005708,0,0,4,,1,7,0,0,0,0,0,AT,Age25_49,COMBA.1,8978929
2022-W02,AT,435176,0,0,0,,0,0,0,0,0,0,0,AT,Age5_9,COMBA.1,8978929
2022-W02,AT,1392642,0,0,0,,0,1,1,0,0,0,0,AT,Age50_59,COMBA.1,8978929
2022-W02,AT,1086320,0,0,0,,1,1,0,0,0,0,0,AT,Age60_69,COMBA.1,8978929
2022-W02,AT,741680,0,0,0,,0,3,0,0,0,0,0,AT,Age70_79,COMBA.1,8978929
2022-W02,AT,524214,0,0,0,,0,0,0,0,0,0,0,AT,Age80+,COMBA.1,8978929
2022-W02,AT,1551690,0,0,1,,1,0,0,0,0,0,0,AT,Age<18,COMBA.1,8978929
2022-W02,AT,7427239,0,0,5,,3,13,1,0,0,0,0,AT,ALL,COMBA.1,8978929
2022-W02,AT,431785,0,0,0,,0,0,0,0,0,0,0,AT,Age0_4,COMBA.4-5,8978929
2022-W02,AT,424628,0,0,0,,0,0,0,0,0,0,0,AT,Age10_14,COMBA.4-5,8978929
2022-W02,AT,260101,0,0,0,,0,0,0,0,0,0,0,AT,Age15_17,COMBA.4-5,8978929
2022-W02,AT,676675,0,0,0,,0,0,0,0,0,0,0,AT,Age18_24,COMBA.4-5,8978929
2022-W02,AT,3005708,0,0,0,,0,0,0,0,0,0,0,AT,Age25_49,COMBA.4-5,8978929
2022-W02,AT,435176,0,0,0,,0,0,0,0,0,0,0,AT,Age5_9,COMBA.4-5,8978929
2022-W02,AT,1392642,0,0,0,,0,1,0,0,0,0,0,AT,Age50_59,COMBA.4-5,8978929
2022-W02,AT,1086320,0,0,0,,0,0,0,0,0,0,0,AT,Age60_69,COMBA.4-5,8978929
2022-W02,AT,741680,0,0,0,,0,0,0,0,0,0,0,AT,Age70_79,COMBA.4-5,8978929
2022-W02,AT,524214,0,0,0,,0,0,1,0,0,0,0,AT,Age80+,COMBA.4-5,8978929
2022-W02,AT,1551690,0,0,0,,0,0,0,0,0,0,0,AT,Age<18,COMBA.4-5,8978929
2022-W02,AT,7427239,0,0,0,,0,1,1,0,0,0,0,AT,ALL,COMBA.4-5,8978929
2022-W02,AT,431785,0,0,0,,0,0,0,0,0,0,0,AT,Age0_4,JANSS,8978929
2022-W02,AT,424628,0,0,1,,0,0,0,0,0,0,0,AT,Age10_14,JANSS,8978929
2022-W02,AT,260101,0,0,3,,0,1,0,0,0,0,0,AT,Age15_17,JANSS,8978929
2022-W02,AT,676675,0,0,27,,0,46,1,0,0,0,0,AT,Age18_24,JANSS,8978929
2022-W02,AT,3005708,0,0,63,,3,262,0,0,0,0,0,AT,Age25_49,JANSS,8978929
2022-W02,AT,435176,0,0,0,,0,0,0,0,0,0,0,AT,Age5_9,JANSS,8978929
2022-W02,AT,1392642,0,0,22,,2,103,1,0,0,0,0,AT,Age50_59,JANSS,8978929
2022-W02,AT,1086320,0,0,11,,1,42,0,0,0,0,0,AT,Age60_69,JANSS,8978929
2022-W02,AT,741680,0,0,6,,0,21,0,0,0,0,0,AT,Age70_79,JANSS,8978929
2022-W02,AT,524214,0,0,2,,2,12,0,0,0,0,0,AT,Age80+,JANSS,8978929
2022-W02,AT,1551690,0,0,4,,0,1,0,0,0,0,0,AT,Age<18,JANSS,8978929
2022-W02,AT,7427239,0,0,131,,8,486,2,0,0,0,0,AT,ALL,JANSS,8978929
2022-W02,AT,431785,0,0,0,,0,0,0,0,0,0,0,AT,Age0_4,MOD,8978929
2022-W02,AT,424628,0,0,3,,13,3,0,0,0,0,0,AT,Age10_14,MOD,8978929
2022-W02,AT,260101,0,0,8,,19,17,0,0,0,0,0,AT,Age15_17,MOD,8978929
